countrycode,seriescode,year,description
POL_Poludniowo-Zachodni_AGG051,SI.POV.NAHC,YR2011,Source: Eurostat
POL_Poludniowy_AGG052,SI.POV.NAHC,YR2011,Source: Eurostat
POL_Wschodni_AGG053,SI.POV.NAHC,YR2011,Source: Eurostat
ROM,SI.POV.NAHC,YR2010,Source: Eurostat
ROM,SI.POV.NAHC,YR2011,Source: Eurostat
ROM_Bucuresti-Ilfov_AGG056,SI.POV.NAHC,YR2010,Source: Eurostat
ROM_Bucuresti-Ilfov_AGG056,SI.POV.NAHC,YR2011,Source: Eurostat
ROM_Center_AGG057,SI.POV.NAHC,YR2010,Source: Eurostat
ROM_Center_AGG057,SI.POV.NAHC,YR2011,Source: Eurostat
ROM_Northeast_AGG058,SI.POV.NAHC,YR2010,Source: Eurostat
ROM_Northeast_AGG058,SI.POV.NAHC,YR2011,Source: Eurostat
ROM_Northwest_AGG059,SI.POV.NAHC,YR2010,Source: Eurostat
ROM_Northwest_AGG059,SI.POV.NAHC,YR2011,Source: Eurostat
ROM_South_AGG060,SI.POV.NAHC,YR2010,Source: Eurostat
ROM_South_AGG060,SI.POV.NAHC,YR2011,Source: Eurostat
ROM_Southeast_AGG061,SI.POV.NAHC,YR2010,Source: Eurostat
ROM_Southeast_AGG061,SI.POV.NAHC,YR2011,Source: Eurostat
ROM_Southwest_AGG062,SI.POV.NAHC,YR2010,Source: Eurostat
ROM_Southwest_AGG062,SI.POV.NAHC,YR2011,Source: Eurostat
ROM_West_AGG063,SI.POV.NAHC,YR2010,Source: Eurostat
ROM_West_AGG063,SI.POV.NAHC,YR2011,Source: Eurostat
SVN,SI.POV.NAHC,YR2010,Source: Eurostat
SVN,SI.POV.NAHC,YR2011,Source: Eurostat
SVN_Vzhodna_Slovenia_AGG064.5,SI.POV.NAHC,YR2010,Source: Eurostat
SVN_Vzhodna_Slovenia_AGG064.5,SI.POV.NAHC,YR2011,Source: Eurostat
SVN_Zahodna_Slovenia_AGG065.5,SI.POV.NAHC,YR2010,Source: Eurostat
SVN_Zahodna_Slovenia_AGG065.5,SI.POV.NAHC,YR2011,Source: Eurostat
RUS_Severn_Osetiya-alaniya_Rep_RU.SO_2556_RUS069,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Smolenskaya_Oblast_RU.SL_2557_RUS070,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Smolenskaya_Oblast_RU.SL_2557_RUS070,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Stavropolskiy_Kray_RU.SV_2558_RUS071,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Stavropolskiy_Kray_RU.SV_2558_RUS071,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Sverdlovskaya_Oblast_RU.SK_2559_RUS072,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Sverdlovskaya_Oblast_RU.SK_2559_RUS072,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Tambovskaya_Oblast_RU.TA_2560_RUS073,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Tambovskaya_Oblast_RU.TA_2560_RUS073,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Tatarstan_Rep_RU.TR_2561_RUS074,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Tatarstan_Rep_RU.TR_2561_RUS074,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Tomskaya_Oblast_RU.TM_2563_RUS076,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Tomskaya_Oblast_RU.TM_2563_RUS076,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Tulskaya_Oblast_RU.TS_2564_RUS077,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Tulskaya_Oblast_RU.TS_2564_RUS077,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Tverskaya_Oblast_RU.TV_2565_RUS078,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Tverskaya_Oblast_RU.TV_2565_RUS078,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Tyumenskaya_Oblast_RU.TY_2566_RUS079,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Tyumenskaya_Oblast_RU.TY_2566_RUS079,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Tyva_Rep_RU.TN_2567_RUS080,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Tyva_Rep_RU.TN_2567_RUS080,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Udmurtiya_Rep_RU.UR_2568_RUS081,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Udmurtiya_Rep_RU.UR_2568_RUS081,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Ulyanovskaya_Oblast_RU.UL_2569_RUS082,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Ulyanovskaya_Oblast_RU.UL_2569_RUS082,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Vladimirskaya_Oblast_RU.US_2571_RUS084,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Vladimirskaya_Oblast_RU.US_2571_RUS084,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Volgogradskaya_Oblast_RU.VG_2572_RUS085,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Volgogradskaya_Oblast_RU.VG_2572_RUS085,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Vologodskaya_Oblast_RU.VL_2573_RUS086,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Vologodskaya_Oblast_RU.VL_2573_RUS086,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Voronezhskaya_Oblast_RU.VO_2574_RUS087,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Voronezhskaya_Oblast_RU.VO_2574_RUS087,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Yamalo-nenetskiy_Okrug_RU.YN_2575_RUS088,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Yamalo-nenetskiy_Okrug_RU.YN_2575_RUS088,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Yaroslavskaya_Oblast_RU.YA_2576_RUS089,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Yaroslavskaya_Oblast_RU.YA_2576_RUS089,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Zabaykalsky_kray_RU.ZK_2578_RUS091,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Zabaykalsky_kray_RU.ZK_2578_RUS091,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Adygeya_Rep_RU.AD_2487_RUS001,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Adygeya_Rep_RU.AD_2487_RUS001,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Altay_Rep_RU.AL_2489_RUS003,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Altay_Rep_RU.AL_2489_RUS003,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Altayskiy_Kray_RU.AK_2490_RUS004,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Altayskiy_Kray_RU.AK_2490_RUS004,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Amurskaya_Oblast_RU.AO_2491_RUS005,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Amurskaya_Oblast_RU.AO_2491_RUS005,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Arkhangelskaya_Oblast_RU.AR_2492_RUS006,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Arkhangelskaya_Oblast_RU.AR_2492_RUS006,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Astrakhanskaya_Oblast_RU.AS_2493_RUS007,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Astrakhanskaya_Oblast_RU.AS_2493_RUS007,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Bashkortostan_Rep_RU.BA_2494_RUS008,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Bashkortostan_Rep_RU.BA_2494_RUS008,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Belgorodskaya_Oblast_RU.BE_2495_RUS009,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Belgorodskaya_Oblast_RU.BE_2495_RUS009,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Bryanskaya_Oblast_RU.BR_2496_RUS010,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Bryanskaya_Oblast_RU.BR_2496_RUS010,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Buryatiya_Rep_RU.BU_2497_RUS011,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Buryatiya_Rep_RU.BU_2497_RUS011,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Chechnya_Rep_RU.CH_2498_RUS012,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Chechnya_Rep_RU.CH_2498_RUS012,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Chelyabinskaya_Oblast_RU.CE_2499_RUS013,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Chelyabinskaya_Oblast_RU.CE_2499_RUS013,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Chukotskiy_Okrug_RU.CU_2501_RUS015,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Chukotskiy_Okrug_RU.CU_2501_RUS015,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Chuvashiya_Rep_RU.CV_2502_RUS016,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Chuvashiya_Rep_RU.CV_2502_RUS016,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Dagestan_Rep_RU.DA_2503_RUS017,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Dagestan_Rep_RU.DA_2503_RUS017,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Evenkiyskiy_Okrug_RU.EO_2504_RUS018,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Evenkiyskiy_Okrug_RU.EO_2504_RUS018,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Ingushetiya_Rep_RU.IR_2505_RUS019,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Ingushetiya_Rep_RU.IR_2505_RUS019,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Irkutskaya_Oblast_RU.IK_2506_RUS020,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Irkutskaya_Oblast_RU.IK_2506_RUS020,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Ivanovskaya_Oblast_RU.IV_2507_RUS021,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Ivanovskaya_Oblast_RU.IV_2507_RUS021,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Kabardino-balkariya_Rep_RU.KB_2508_RUS022,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Kabardino-balkariya_Rep_RU.KB_2508_RUS022,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Kaliningradskaya_Oblast_RU.KO_2509_RUS023,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Kaliningradskaya_Oblast_RU.KO_2509_RUS023,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Kalmykiya_Rep_RU.KA_2510_RUS024,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Kalmykiya_Rep_RU.KA_2510_RUS024,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Kaluzhskaya_Oblast_RU.KU_2511_RUS025,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Kaluzhskaya_Oblast_RU.KU_2511_RUS025,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Kamchatskaya_Oblast_RU.KM_2512_RUS026,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Kamchatskaya_Oblast_RU.KM_2512_RUS026,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Karatchayevo-cherkesiya_Rep_RU.KC_2513_RUS027,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Karatchayevo-cherkesiya_Rep_RU.KC_2513_RUS027,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Karelya_Rep_RU.KR_2514_RUS028,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Karelya_Rep_RU.KR_2514_RUS028,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Kemerovskaya_Oblast_RU.KL_2515_RUS029,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Kemerovskaya_Oblast_RU.KL_2515_RUS029,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Khabarovskiy_Kray_RU.KH_2516_RUS030,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Khabarovskiy_Kray_RU.KH_2516_RUS030,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Khakasiya_Rep_RU.KS_2517_RUS031,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Khakasiya_Rep_RU.KS_2517_RUS031,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Khanty-mansyiskiy_Okrug_RU.KY_2518_RUS032,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Khanty-mansyiskiy_Okrug_RU.KY_2518_RUS032,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Kirovskaya_Oblast_RU.KV_2519_RUS033,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Kirovskaya_Oblast_RU.KV_2519_RUS033,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Komi_Rep_RU.KI_2520_RUS034,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Komi_Rep_RU.KI_2520_RUS034,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Kostromskaya_Oblast_RU.OB_2523_RUS037,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Kostromskaya_Oblast_RU.OB_2523_RUS037,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Krasnodarskiy_Kray_RU.KN_2524_RUS038,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Krasnodarskiy_Kray_RU.KN_2524_RUS038,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Krasnoyarskiy_Kray_RU.KK_2525_RUS039,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Krasnoyarskiy_Kray_RU.KK_2525_RUS039,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Kurganskaya_Oblast_RU.KG_2526_RUS040,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Kurganskaya_Oblast_RU.KG_2526_RUS040,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Kurskaya_Oblast_RU.KT_2527_RUS041,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Kurskaya_Oblast_RU.KT_2527_RUS041,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Leningradskaya_Oblast_RU.LE_2529_RUS042,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Leningradskaya_Oblast_RU.LE_2529_RUS042,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Lipetskaya_Oblast_RU.LI_2530_RUS043,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Lipetskaya_Oblast_RU.LI_2530_RUS043,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Magadanskaya_Oblast_RU.MA_2531_RUS044,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Magadanskaya_Oblast_RU.MA_2531_RUS044,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Mariy-el_Rep_RU.MR_2532_RUS045,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Mariy-el_Rep_RU.MR_2532_RUS045,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Mordoviya_Rep_RU.MO_2533_RUS046,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Mordoviya_Rep_RU.MO_2533_RUS046,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Moskovskaya_Oblast_RU.MK_2534_RUS047,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Moskovskaya_Oblast_RU.MK_2534_RUS047,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Moskva_RU.MV_2535_RUS048,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Moskva_RU.MV_2535_RUS048,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Murmanskaya_Oblast_RU.MU_2536_RUS049,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Murmanskaya_Oblast_RU.MU_2536_RUS049,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Nenetskiy_Okrug_RU.NE_2538_RUS051,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Nenetskiy_Okrug_RU.NE_2538_RUS051,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Nizhegorodskaya_Oblast_RU.NZ_2539_RUS052,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Nizhegorodskaya_Oblast_RU.NZ_2539_RUS052,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Novgorodskaya_Oblast_RU.NG_2540_RUS053,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Novgorodskaya_Oblast_RU.NG_2540_RUS053,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Novosibirskaya_Oblast_RU.NV_2541_RUS054,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Novosibirskaya_Oblast_RU.NV_2541_RUS054,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Omskaya_Oblast_RU.OO_2542_RUS055,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Omskaya_Oblast_RU.OO_2542_RUS055,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Orenburgskaya_Oblast_RU.OR_2543_RUS056,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Orenburgskaya_Oblast_RU.OR_2543_RUS056,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Orlovskaya_Oblast_RU.OL_2544_RUS057,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Orlovskaya_Oblast_RU.OL_2544_RUS057,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Penzenskaya_Oblast_RU.PO_2545_RUS058,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Penzenskaya_Oblast_RU.PO_2545_RUS058,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Permskaya_Oblast_RU.PR_2546_RUS059,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Permskaya_Oblast_RU.PR_2546_RUS059,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Primorskiy_Kray_RU.PM_2547_RUS060,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Primorskiy_Kray_RU.PM_2547_RUS060,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Pskovskaya_Oblast_RU.PS_2548_RUS061,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Pskovskaya_Oblast_RU.PS_2548_RUS061,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Rostovskaya_Oblast_RU.RO_2549_RUS062,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Rostovskaya_Oblast_RU.RO_2549_RUS062,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Ryazanskaya_Oblast_RU.RS_2550_RUS063,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Ryazanskaya_Oblast_RU.RS_2550_RUS063,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Sakha_Rep_RU.SA_2551_RUS064,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Sakha_Rep_RU.SA_2551_RUS064,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Sakhalinskaya_Oblast_RU.SY_2552_RUS065,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Sakhalinskaya_Oblast_RU.SY_2552_RUS065,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Samarskaya_Oblast_RU.SM_2553_RUS066,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Samarskaya_Oblast_RU.SM_2553_RUS066,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Sankt-peterburg_RU.SP_2554_RUS067,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Sankt-peterburg_RU.SP_2554_RUS067,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Saratovskaya_Oblast_RU.SR_2555_RUS068,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.
RUS_Saratovskaya_Oblast_RU.SR_2555_RUS068,SI.POV.NAHC,YR2012,Source: Federal State Statistics Service.
RUS_Severn_Osetiya-alaniya_Rep_RU.SO_2556_RUS069,SI.POV.NAHC,YR2011,Source: Federal State Statistics Service.; http://www.gks.ru/free_doc/new_site/population/bednost/tabl/2-03.htm
GEO_Tbilisi_GE.TB_1307_GEO012,SI.POV.NAHC,YR2011,Source: Georgia: Adjusting in the Face of Uncertainty
GEO_Samtskhe-Javakheti_GE.SA_1298.99_GEO008,SI.POV.NAHC,YR2011,Source: Georgia: Adjusting in the Face of Uncertainty
GEO_Kakheti_GE.KA_1300_GEO005,SI.POV.NAHC,YR2011,Source: Georgia: Adjusting in the Face of Uncertainty
GEO_Shida_Kartli_GE.SD_1306_GEO011,SI.POV.NAHC,YR2011,Source: Georgia: Adjusting in the Face of Uncertainty
GEO_Mtskheta-Mtianeti_GE.MM_1302_GEO007,SI.POV.NAHC,YR2011,Source: Georgia: Adjusting in the Face of Uncertainty
GEO_Samergelo_Zemo_Svaneti_GE.SZ_1304_GEO009,SI.POV.NAHC,YR2011,Source: Georgia: Adjusting in the Face of Uncertainty
GEO_Kvemo_Kartli_GE.KK_1301_GEO006,SI.POV.NAHC,YR2011,Source: Georgia: Adjusting in the Face of Uncertainty
GEO_Guria_GE.GU_1298_GEO003,SI.POV.NAHC,YR2011,Source: Georgia: Adjusting in the Face of Uncertainty
GEO_Imereti_GE.IM_1299_GEO004,SI.POV.NAHC,YR2011,Source: Georgia: Adjusting in the Face of Uncertainty
GEO_Adjara_Aut_Rep_GE.AR_1297_GEO002,SI.POV.NAHC,YR2011,Source: Georgia: Adjusting in the Face of Uncertainty
GEO,SI.POV.NAHC,YR2011,Source: Georgia: Adjusting in the Face of Uncertainty
MAR,SI.POV.NAHC,YR2001,Source: High Commission for Planning of Morocco
MAR,SI.POV.NAHC,YR2007,Source: High Commission for Planning of Morocco
MAR_Chaouia-Ouardigha_MA.CO_2105_MAR001,SI.POV.NAHC,YR2001,Source: High Commission for Planning of Morocco
MAR_Chaouia-Ouardigha_MA.CO_2105_MAR001,SI.POV.NAHC,YR2007,Source: High Commission for Planning of Morocco
MAR_Doukkala-Abda_MA.DA_2106_MAR002,SI.POV.NAHC,YR2001,Source: High Commission for Planning of Morocco
MAR_Doukkala-Abda_MA.DA_2106_MAR002,SI.POV.NAHC,YR2007,Source: High Commission for Planning of Morocco
MAR_Fes-Boulemane_MA.FB_2107_MAR003,SI.POV.NAHC,YR2001,Source: High Commission for Planning of Morocco
MAR_Fes-Boulemane_MA.FB_2107_MAR003,SI.POV.NAHC,YR2007,Source: High Commission for Planning of Morocco
MAR_Gharb-Chrarda-Beni_Hssen_MA.GB_2108_MAR004,SI.POV.NAHC,YR2001,Source: High Commission for Planning of Morocco
MAR_Gharb-Chrarda-Beni_Hssen_MA.GB_2108_MAR004,SI.POV.NAHC,YR2007,Source: High Commission for Planning of Morocco
MAR_Greater_Casablanca_MA.GC_2109_MAR005,SI.POV.NAHC,YR2001,Source: High Commission for Planning of Morocco
MAR_Greater_Casablanca_MA.GC_2109_MAR005,SI.POV.NAHC,YR2007,Source: High Commission for Planning of Morocco
MAR_Marrakech-Tensift_MA.MK_2112_MAR008,SI.POV.NAHC,YR2001,Source: High Commission for Planning of Morocco
MAR_Marrakech-Tensift_MA.MK_2112_MAR008,SI.POV.NAHC,YR2007,Source: High Commission for Planning of Morocco
MAR_Meknes-Tafilalet_MA.MT_2113_MAR009,SI.POV.NAHC,YR2001,Source: High Commission for Planning of Morocco
MAR_Meknes-Tafilalet_MA.MT_2113_MAR009,SI.POV.NAHC,YR2007,Source: High Commission for Planning of Morocco
MAR_Oriental_MA.OR_2114_MAR010,SI.POV.NAHC,YR2001,Source: High Commission for Planning of Morocco
MAR_Oriental_MA.OR_2114_MAR010,SI.POV.NAHC,YR2007,Source: High Commission for Planning of Morocco
MAR_Rabat-Sale-Zemmour-Zaer_MA.RS_2115_MAR011,SI.POV.NAHC,YR2001,Source: High Commission for Planning of Morocco
MAR_Rabat-Sale-Zemmour-Zaer_MA.RS_2115_MAR011,SI.POV.NAHC,YR2007,Source: High Commission for Planning of Morocco
MAR_Souss-Massa-Draa_MA.SM_2116_MAR012,SI.POV.NAHC,YR2001,Source: High Commission for Planning of Morocco
MAR_Souss-Massa-Draa_MA.SM_2116_MAR012,SI.POV.NAHC,YR2007,Source: High Commission for Planning of Morocco
MAR_Tadla-Azilal_MA.TD_2117_MAR013,SI.POV.NAHC,YR2001,Source: High Commission for Planning of Morocco
MAR_Tadla-Azilal_MA.TD_2117_MAR013,SI.POV.NAHC,YR2007,Source: High Commission for Planning of Morocco
MAR_Tangier-Tetouan_MA.TO_2118_MAR014,SI.POV.NAHC,YR2001,Source: High Commission for Planning of Morocco
MAR_Tangier-Tetouan_MA.TO_2118_MAR014,SI.POV.NAHC,YR2007,Source: High Commission for Planning of Morocco
MAR_Taza-Al_Hoceima-Taounate_MA.TH_2119_MAR015,SI.POV.NAHC,YR2001,Source: High Commission for Planning of Morocco
MAR_Taza-Al_Hoceima-Taounate_MA.TH_2119_MAR015,SI.POV.NAHC,YR2007,Source: High Commission for Planning of Morocco
MAR_Western_Sahara_AGG048.5,SI.POV.NAHC,YR2001,Source: High Commission for Planning of Morocco
